,state-code,state-name,district-code,district-name,teh-code,teh-name,vill-code,ward-no,area-name,census_id
17235,06,HARYANA,083,Jhajjar,00409,Jhajjar,061896,0000,Babepur(224),0608300409061896
14910,06,HARYANA,075,Panipat,00377,Samalkha,059581,0000,Chhajpur Khurd (41),0607500377059581
15681,06,HARYANA,078,Fatehabad,00387,Tohana,060358,0000,Rasulpur(194),0607800387060358
13864,06,HARYANA,072,Kurukshetra,00366,Thanesar,058523,0000,Bhawani Khera (390),0607200366058523
14379,06,HARYANA,074,Karnal,00370,Nilokheri,059033,0000,Bhaini Khurd (81),0607400370059033
11305,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00266,Kharar,039040,0000,Hasanpur (96),0305200266039040
9388,03,PUNJAB,048,Patiala,00254,Rajpura,037049,0000,Rampur Khurd (258),0304800254037049
4289,03,PUNJAB,038,Hoshiarpur,00217,Garhshankar,031875,0000,Bahowal (34),0303800217031875
3481,03,PUNJAB,038,Hoshiarpur,00215,Mukerian ,031055,0000,Barota Urf Puro Nangal (220),0303800215031055
2773,03,PUNJAB,037,Jalandhar,00212,Jalandhar - I,030320,0000,Kala Bakra (119),0303700212030320
7007,03,PUNJAB,043,Firozpur,00235,Firozpur,034634,0000,Haji Chhimba (97),0304300235034634
10298,03,PUNJAB,050,Tarn Taran,00259,Tarn Taran,038017,0000,Sakhira (240),0305000259038017
18590,06,HARYANA,087,Mewat ,00423,Ferozepur Jhirka,063284,0000,Patkhori(90),0608700423063284
6673,03,PUNJAB,043,Firozpur,00234,Zira,034292,0000,Baharwali (47),0304300234034292
14769,06,HARYANA,075,Panipat,00375,Panipat,059428,0000,Adiyana (48),0607500375059428
9613,03,PUNJAB,049,Amritsar ,00255,Ajnala,037301,0000,Kamaska (344),0304900255037301
8766,03,PUNJAB,048,Patiala,00252,Nabha,036407,0000,Bishangarh (103),0304800252036407
8711,03,PUNJAB,048,Patiala,00252,Nabha,036352,0000,Sahauli (114),0304800252036352
16065,06,HARYANA,079,Sirsa,00390,Sirsa,060738,0000,Rampura Bagrian(3),0607900390060738
14661,06,HARYANA,074,Karnal,00373,Assandh,059321,0000,Bassi (70),0607400373059321
16573,06,HARYANA,081,Bhiwani,00399,Tosham,061235,0000,Busan (95),0608100399061235
1180,03,PUNJAB,035,Gurdaspur,00203,Batala ,028643,0000,Chaudhriwala (112) ,0303500203028643
17117,06,HARYANA,083,Jhajjar,00408,Bahadurgarh,061775,0000,Nuna Majra(46),0608300408061775
15336,06,HARYANA,077,Jind,00382,Narwana,060020,0000,Ghaso Kalan (117),0607700382060020
6869,03,PUNJAB,043,Firozpur,00235,Firozpur,034490,0000,Bazewala (211),0304300235034490
5396,03,PUNJAB,041,Ludhiana,00224,Samrala,032989,0000,Nurpur Bet (455),0304100224032989
354,03,PUNJAB,035,Gurdaspur,00201,Pathankot       ,027755,0000,Chela Chak (135),0303500201027755
4414,03,PUNJAB,038,Hoshiarpur,00217,Garhshankar,032000,0000,Rampur (353),0303800217032000
13100,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057732,0000,Kulpur (450),0607100361057732
16185,06,HARYANA,080,Hisar,00393,Adampur,060852,0000,Ladwi(41),0608000393060852
8961,03,PUNJAB,048,Patiala,00253,Patiala,036605,0000,Kalar Bhaini (167),0304800253036605
12723,06,HARYANA,070,Ambala,00359,Ambala,057343,0000,Dangdehri (33),0607000359057343
10105,03,PUNJAB,049,Amritsar ,00258,Baba Bakala ,037820,0000,Butala  (52),0304900258037820
1874,03,PUNJAB,036,Kapurthala ,00207,Sultanpur Lodhi ,029366,0000,Sujo Kalia (60),0303600207029366
2648,03,PUNJAB,037,Jalandhar,00211,Phillaur,030195,0000,Bir Shersingh (205),0303700211030195
16833,06,HARYANA,081,Bhiwani,00402,Dadri,061490,0000,Birsamaspur (165) ,0608100402061490
14323,06,HARYANA,073,Kaithal,00369,Fatehpur Pundri,058979,0000,Jajanpur (11),0607300369058979
7044,03,PUNJAB,043,Firozpur,00235,Firozpur,034675,0000,Rohela Haji Uttar (287),0304300235034675
11879,03,PUNJAB,053,Sangrur,00270,Dhuri,039636,0000,Bhasaur (72),0305300270039636
8251,03,PUNJAB,046,Bathinda,00246,Talwandi Sabo,035902,0000,Fatehgarh Nouabad (33),0304600246035902
11935,03,PUNJAB,053,Sangrur,00271,Sangrur,039690,0000,Lakhewal (70),0305300271039690
8312,03,PUNJAB,047,Mansa,00247,Sardulgarh,035960,0000,Dhigana (194),0304700247035960
10213,03,PUNJAB,050,Tarn Taran,00259,Tarn Taran,037928,0000,Muse (207),0305000259037928
2212,03,PUNJAB,037,Jalandhar,00209,Shahkot,029751,0000,Jakopur Kalan (243),0303700209029751
17376,06,HARYANA,084,Mahendragarh,00411,Mahendragarh,062034,0000,Nimbi(107),0608400411062034
6740,03,PUNJAB,043,Firozpur,00234,Zira,034362,0000,Santuwala (351),0304300234034362
5928,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033533,0000,Jassowal (282),0304100227033533
8819,03,PUNJAB,048,Patiala,00252,Nabha,036461,0000,Raimal Majri (136),0304800252036461
14021,06,HARYANA,072,Kurukshetra,00366,Thanesar,058683,0000,Lohara (338),0607200366058683
545,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,027990,0000,Kotla Mughian (128),0303500202027990
14068,06,HARYANA,073,Kaithal,00367,Guhla,058727,0000,Mohanpur (139),0607300367058727
6261,03,PUNJAB,041,Ludhiana,00230,Jagraon,033873,0000,Janetpura (48),0304100230033873
9213,03,PUNJAB,048,Patiala,00254,Rajpura,036873,0000,Raipur (384),0304800254036873
6267,03,PUNJAB,041,Ludhiana,00230,Jagraon,033879,0000,Fatehgarh Sibian (43),0304100230033879
16779,06,HARYANA,081,Bhiwani,00402,Dadri,061436,0000,Atela Kalan(88),0608100402061436
2972,03,PUNJAB,037,Jalandhar,00213,Jalandhar - II,030529,0000,Kotli Bagbana (389),0303700213030529
14559,06,HARYANA,074,Karnal,00372,Karnal,059216,0000,Dhakwala (121),0607400372059216
12459,06,HARYANA,069,Panchkula,00357,Panchkula,057074,0000,Jalouli (240),0606900357057074
14238,06,HARYANA,073,Kaithal,00368,Kaithal,058896,0000,Pinjupura(31),0607300368058896
11634,03,PUNJAB,053,Sangrur,00269,Malerkotla,039388,0000,Jalwana (3),0305300269039388
15165,06,HARYANA,076,Sonipat,00380,Sonipat,059844,0000,Fatehpur(214),0607600380059844
18678,06,HARYANA,087,Mewat ,00424,Punahana,063375,0000,Khorishah Chokha(177),0608700424063375
15871,06,HARYANA,079,Sirsa,00389,Dabwali,060545,0000,Matdadu(290),0607900389060545
3648,03,PUNJAB,038,Hoshiarpur,00215,Mukerian ,031224,0000,Mirpur (400),0303800215031224
2631,03,PUNJAB,037,Jalandhar,00211,Phillaur,030178,0000,Miranpur (202),0303700211030178
16951,06,HARYANA,082,Rohtak,00405,Rohtak,061604,0000,Anwal(125),0608200405061604
13522,06,HARYANA,071,Yamunanagar,00363,Chhachhrauli,058174,0000,Jaidhari (81),0607100363058174
18389,06,HARYANA,087,Mewat ,00421,Taoru,063068,0000,Bidhuwas(80),0608700421063068
15183,06,HARYANA,076,Sonipat,00380,Sonipat,059862,0000,Palra(29),0607600380059862
18690,06,HARYANA,087,Mewat ,00424,Punahana,063387,0000,Ferozepur Meo(203),0608700424063387
7679,03,PUNJAB,044,Muktsar,00240,Gidderbaha,035326,0000,Husnar (17),0304400240035326
1996,03,PUNJAB,036,Kapurthala ,00207,Sultanpur Lodhi ,029502,0000,Tashpur  (16),0303600207029502
4597,03,PUNJAB,039,Shahid Bhagat Singh Nagar ,00218,Nawanshahr,032182,0000,Mukandpur (192),0303900218032182
16838,06,HARYANA,081,Bhiwani,00402,Dadri,061496,0000,Tikan Kalan (170),0608100402061496
14108,06,HARYANA,073,Kaithal,00367,Guhla,058768,0000,Peedal (15),0607300367058768
1657,03,PUNJAB,036,Kapurthala ,00206,Kapurthala ,029135,0000,Nazampur (15),0303600206029135
2671,03,PUNJAB,037,Jalandhar,00211,Phillaur,030218,0000,Jaitowal (37),0303700211030218
5995,03,PUNJAB,041,Ludhiana,00228,Ludhiana (West),033600,0000,Bhanohar (296),0304100228033600
9115,03,PUNJAB,048,Patiala,00253,Patiala,036763,0000,Bhambuan (275),0304800253036763
6519,03,PUNJAB,042,Moga,00233,Moga,034128,0000,Chak Tarewala (298),0304200233034128
11852,03,PUNJAB,053,Sangrur,00270,Dhuri,039609,0000,Kanjli (51),0305300270039609
7744,03,PUNJAB,044,Muktsar,00241,Muktsar,035389,0000,Chak Badhai (113),0304400241035389
11511,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00268,Dera Bassi,039254,0000,Sarsini (153),0305200268039254
14874,06,HARYANA,075,Panipat,00377,Samalkha,059542,0000,Bodhwal Majri (87),0607500377059542
9728,03,PUNJAB,049,Amritsar ,00255,Ajnala,037417,0000,Nizampura  (275),0304900255037417
9927,03,PUNJAB,049,Amritsar ,00257,Amritsar- II ,037619,0000,Loharka Khurd (338),0304900257037619
4710,03,PUNJAB,039,Shahid Bhagat Singh Nagar ,00218,Nawanshahr,032299,0000,Salempur (260),0303900218032299
18651,06,HARYANA,087,Mewat ,00424,Punahana,063345,0000,Lohinga Kalan(165),0608700424063345
1342,03,PUNJAB,035,Gurdaspur,00203,Batala ,028806,0000,Kotli Thablan (311),0303500203028806
5808,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033411,0000,Gujjarwal Bet (20),0304100227033411
6619,03,PUNJAB,043,Firozpur,00234,Zira,034230,0000,Khiali (96),0304300234034230
4965,03,PUNJAB,040,Fatehgarh Sahib,00220,Bassi Pathana,032556,0000,Dadiana (306),0304000220032556
1793,03,PUNJAB,036,Kapurthala ,00206,Kapurthala ,029281,0000,Jhal Bibri  (98),0303600206029281
18451,06,HARYANA,087,Mewat ,00422,Nuh,063137,0000,Kairaka (144),0608700422063137
434,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,027864,0000,Dhamrai (297),0303500202027864
7540,03,PUNJAB,043,Firozpur,00238,Abohar ,035192,0000,Azimgarh (110) ,0304300238035192
5788,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033390,0000,Khanpur Bet (3),0304100227033390
13220,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057860,0000,Raipur (145),0607100361057860
1751,03,PUNJAB,036,Kapurthala ,00206,Kapurthala ,029239,0000,Wadala Khurd (201),0303600206029239
